session,elev_gain_m,sport_type,average_temp,average_watts,kcal_exp,has_hr,avg_hr_bpm,max_hr_bpm,date,time,distance_km,moving_time_min,elapsed_time_min,avg_speed_kmh,max_speed_kmh,elev_gain_m_per_min,weekday,month,month_number,year
Jonsvatnet rundt,772,NA,13,151.7,1104.7,TRUE,137,159,2024-05-03,8H 25M 46S,46.72,121.33,151.2,23.1,60.58,6.36,Fri,May,5,2024
Morning Ride,436,NA,13,128.9,617.8,TRUE,124.5,150,2024-05-02,8H 28M 32S,28.98,79.87,87.75,21.77,52.87,5.46,Thu,May,5,2024
Malmsjøen,809,NA,13,154.1,1595.7,TRUE,149.2,172,2024-05-01,7H 41M 49S,75.77,172.53,213.47,26.35,65.23,4.69,Wed,May,5,2024
Zwift - Big Flat 8 in Watopia,108,Virtual Ride,NA,169.5,623.9,TRUE,129,141,2024-04-29,10H 18M 4S,32.52,61.35,64.88,31.81,52.99,1.76,Mon,Apr,4,2024
Morning Ride,695,NA,6,147.8,1284.4,TRUE,146,167,2024-04-28,8H 40M 47S,64.14,144.82,165.18,26.58,62.83,4.8,Sun,Apr,4,2024
Lunch Ride,440,NA,12,167.7,699.9,TRUE,140.8,163,2024-04-26,11H 40M 9S,29.04,69.55,76.9,25.06,56.86,6.33,Fri,Apr,4,2024
Morning Ride,446,NA,3,161.4,700.9,TRUE,142.9,165,2024-04-22,8H 11M 39S,28.82,72.35,78.77,23.9,59.77,6.16,Mon,Apr,4,2024
Morning Ride,440,NA,6,154,660.2,TRUE,141,161,2024-04-21,9H 33M 52S,29,71.45,81.8,24.35,59.23,6.16,Sun,Apr,4,2024
Morning Ride,587,NA,3,138.8,959.6,TRUE,140.6,163,2024-04-18,8H 12M 2S,47.02,115.27,132.85,24.48,57.3,5.09,Thu,Apr,4,2024
Zwift - Whole Lotta Lava in Watopia,340,Virtual Ride,NA,176.6,640.4,TRUE,130.6,144,2024-04-17,13H 18M 6S,28.99,60.45,64.13,28.78,57.86,5.62,Wed,Apr,4,2024
Zwift - Out and Back Again,421,Virtual Ride,NA,171.2,1233.9,TRUE,131.1,149,2024-04-13,16H 25M 2S,61.61,120.1,131.88,30.78,63.74,3.51,Sat,Apr,4,2024
Zwift - on R.G.V. in Watopia,134,Virtual Ride,NA,182.9,330.7,TRUE,132.7,143,2024-04-10,14H 52M 11S,14.36,30.13,30.13,28.6,52.53,4.45,Wed,Apr,4,2024
Zwift - Canopies and Coastlines,269,Virtual Ride,NA,181.1,653.8,TRUE,138.5,152,2024-04-09,10H 45M 11S,30.96,60.17,62.2,30.88,50.64,4.47,Tue,Apr,4,2024
Zwift - Figure 8,258,Virtual Ride,NA,183.8,666.1,TRUE,136.1,152,2024-04-08,11H 10M 3S,31.34,60.4,62.3,31.13,69.9,4.27,Mon,Apr,4,2024
Zwift - Jungle Circuit in Watopia,263,Virtual Ride,NA,181.7,656.3,TRUE,135.2,151,2024-04-07,14H 32M 11S,26.19,60.2,62.7,26.1,54.58,4.37,Sun,Apr,4,2024
Zwift -  Ymse in Watopia,173,Virtual Ride,NA,186.2,840.7,TRUE,141.8,160,2024-04-06,10H 55M 40S,41.93,75.27,83.82,33.43,53.32,2.3,Sat,Apr,4,2024
Zwift - Tempus Fugit in Watopia,54,Virtual Ride,NA,186.7,674.6,TRUE,138.6,153,2024-04-04,19H 24M 54S,35.64,60.22,61.63,35.51,42.81,0.9,Thu,Apr,4,2024
Lunch Run,55,NA,NA,322.4,875,FALSE,NA,NA,2024-04-01,11H 34M 8S,7.08,45.23,53.1,9.39,13.91,1.22,Mon,Apr,4,2024
Afternoon Run,68,NA,NA,313.1,672.9,TRUE,139.3,178,2024-03-30,13H 20M 20S,5.7,35.82,36.7,9.54,15.65,1.9,Sat,Mar,3,2024
Morning Run,56,NA,NA,340.9,861.1,TRUE,145.5,158,2024-03-27,9H 14M 59S,6.53,42.1,43.7,9.3,13.87,1.33,Wed,Mar,3,2024
Morning Ride,781,NA,4,144,1495.7,TRUE,141.2,174,2024-03-23,8H 50M 29S,72.42,173.07,200.1,25.11,66.77,4.51,Sat,Mar,3,2024
Morning Ride,642,NA,6,154.4,1258.7,TRUE,146.1,166,2024-03-22,10H 3M 34S,60.53,135.87,144.18,26.73,62.54,4.73,Fri,Mar,3,2024
Lunch Ride,4,NA,10,36.4,11.7,TRUE,108.6,135,2024-03-19,12H 6M 14S,1.71,5.35,5.35,19.14,44.03,0.75,Tue,Mar,3,2024
Morning Ride,444,NA,9,152.3,662.4,TRUE,139,165,2024-03-19,10H 35M 8S,27.38,72.5,91.02,22.66,63.19,6.12,Tue,Mar,3,2024
Copycat,238,Virtual Ride,NA,181.2,661.2,TRUE,139.7,154,2024-03-16,17H 7M 45S,31.58,60.8,62.33,31.16,57.12,3.91,Sat,Mar,3,2024
Zwift - 60 min,341,Virtual Ride,NA,186.6,678.5,TRUE,132.8,148,2024-03-16,12H 19M 33S,29.79,60.62,63.63,29.48,61.07,5.63,Sat,Mar,3,2024
Zwift - 60 min easy + sprints in Watopia,161,Virtual Ride,NA,172.3,627.9,TRUE,134.7,170,2024-03-15,10H 23M 46S,30.48,60.73,64.07,30.11,51.24,2.65,Fri,Mar,3,2024
"Zwift - 5 min x 6, Z3-Z4 in Watopia",54,Virtual Ride,NA,202.3,737.4,TRUE,155.6,183,2024-03-14,9H 26M 21S,35.49,60.75,60.75,35.05,45.08,0.89,Thu,Mar,3,2024
